Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
YAG1264CT-ND,YAGEO (VA),RC0402FR-0733RP,"R3 R4",2,0,0,22 Weeks,RES SMD 33 OHM 1% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
478-4596-1-ND,AVX CORPORATION (VA),0402ZD105KAT2A,C2,2,0,0,8 Weeks,CAP CER 1UF 10V X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
490-5915-1-ND,MURATA ELECTRONICS (VA),GRM155R60J475ME47D,C3,1,0,0,17 Weeks,CAP CER 4.7UF 6.3V X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
754-1815-1-ND,KINGBRIGHT COMPANY LLC (VA),APG1005VGC-T-5MAV,D1,1,0,0,8 Weeks,LED GREEN CLEAR 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
YAG3180CT-ND,YAGEO (VA),RC0402FR-0752R3L,"R1 R2",2,0,0,22 Weeks,RES SMD 52.3 OHM 1% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
LNJ247W82RACT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),LNJ247W82RA,D2,1,0,0,14 Weeks,LED RED 0402 SMD,,RoHS Compliant,Lead free,Not Available
MKL27Z256VFM4-ND,NXP USA INC,MKL27Z256VFM4,U1,1,0,0,10 Weeks,IC MCU 32BIT 256KB FLASH 32QFN,,RoHS Compliant,Lead free,Unaffected Dec-2015
ATECC508A-MAHCZ-SCT-ND,ATMEL (VA),ATECC508A-MAHCZ-S,U2,1,0,0,25 Weeks,AUTHENTICATION CHIP SWI 8-UDFN,Backorders not allowed - please contact Digi-Key,RoHS Compliant,Lead free,Not Available
311-10KJRCT-ND,YAGEO (VA),RC0402JR-0710KL,"R5",1,0,0,22 Weeks,RES SMD 52.3 OHM 1% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
